0,7.212,6.0048,8.5925,8.1202,7.5337,12.502,19.126,22.325,19.79
7.212,0,0.13207,2.5303,11.479,4.0407,7.8541,13.416,28.633,17.137
6.0048,0.13207,0,2.2809,9.9231,2.5842,7.2792,13.478,27.078,16.483
8.5925,2.5303,2.2809,0,2.3953,0.22379,0.83762,6.5319,16.859,6.8806
8.1202,11.479,9.9231,2.3953,0,5.9725,7.1322,12.36,4.4903,8.268
7.5337,4.0407,2.5842,0.22379,5.9725,0,3.9998,10.701,23.105,12.766
12.502,7.8541,7.2792,0.83762,7.1322,3.9998,0,2.6587,20.466,4.5885
19.126,13.416,13.478,6.5319,12.36,10.701,2.6587,0,24.26,3.7701
22.325,28.633,27.078,16.859,4.4903,23.105,20.466,24.26,0,14.047
19.79,17.137,16.483,6.8806,8.268,12.766,4.5885,3.7701,14.047,0
